Zone,Dispo_intérieur en Tonne,Dispo_Alim_kcal_pers_jour_volaille,Dispo_Prot_g_pers_jour_volaille,Dispo_Alim_kg_pers_volaille,Population 2020,Evol Population 2010-2020 en %,PIB par habitant $,Qté poulets exporté en nb de tete,Valeur exporté en $,Qté poulets importé en nb de tete,Valeur importé en $,Qté de production poulets
Afghanistan,67000.0,5.98,0.61,1.71,38972230.0,38.3,519.290602,0.0,0.0,31341.0,10666000.0,13697.0
Afrique du Sud,2067000.0,140.22,13.78,34.86,58801927.0,13.6,5693.514402000001,10900.0,9447000.0,431.0,11057000.0,170487.0
Algérie,280000.0,22.04,1.96,6.38,43451666.0,21.2,3323.0811875,0.0,0.0,5248.0,26988000.0,136415.0
Allemagne,1626000.0,66.5,7.53,18.34,83328988.0,2.5,47365.644042500004,256019.0,504633000.0,148774.0,167632000.0,36005.6
Angola,276000.0,28.19,2.86,8.41,33428486.0,43.1,1672.7096944999998,0.0,0.0,306.0,349000.0,47307.0
Arabie saoudite,1495000.0,149.71,15.36,42.96,35997107.0,22.4,19731.6267125,4000.0,11476000.0,126.0,18466000.0,204569.0
Argentine,2089000.0,199.0,14.78,46.23,45036032.0,9.6,8492.748779500002,0.0,0.0,750.0,17236000.0,118463.0
Australie,1243000.0,196.97,16.88,48.73,25670051.0,16.6,55465.049387499996,192.0,1104000.0,0.0,0.0,100894.0
Autriche,156000.0,56.17,6.48,15.66,8907777.0,6.5,49075.635638499996,11841.0,16453000.0,21569.0,43446000.0,10682.6
Azerbaïdjan,146000.0,48.4,4.94,14.42,10284951.0,11.3,4137.884679500001,0.0,0.0,381.0,5575000.0,30176.0
Bahreïn,76000.0,153.2,15.38,43.95,1477469.0,21.7,22669.73438,0.0,0.0,6.0,191000.0,1500.0
Bangladesh,269000.0,7.12,0.51,1.64,167420951.0,12.8,2277.4499195,0.0,0.0,3017.0,21814000.0,296602.0
Belgique,182000.0,43.58,4.45,12.44,11561717.0,6.3,45658.539921,126208.0,155737000.0,142038.0,200401000.0,37195.0
Bhoutan,4000.0,15.42,1.61,4.59,772506.0,9.5,2904.844806,0.0,0.0,118.0,97000.0,1384.0
Bolivie,477000.0,176.4,12.98,40.86,11936162.0,16.8,3032.600837,0.0,0.0,1693.0,9355000.0,214723.0
