Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2020","2020","million LCU","1547289","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","Millions d’USD","20143.44179","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2020","2020","US$","516.866543","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6183","Valeur en devise locale, aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","million LCU","1224561.806","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6185","Valeur US $ par habitant, aux prix du 2015","22008","Produit Intérieur Brut","2020","2020","US$","513.896229","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6184","Valeur US $, aux prix du 2015","22008","Produit Intérieur Brut","2020","2020","Millions d’USD","20027.68203","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6155","Croissance annuelle en devise locale","22008","Produit Intérieur Brut","2020","2020","%","5.286669","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6181","Croissance annuelle aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","%","-2.351097","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","6.553742","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2020","2020","%","3.265362","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","%","-2.351097","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","61820","Croissance annuelle US $ par habitant, aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","%","-5.364662","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","2","Afghanistan","6109","Valeur en devise locale","22011","Revenu national brut","2020","2020","million LCU","1561802.301","X","Ciffre de sources internationales",""
