Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","28189.672","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","14240.377","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","13949.295","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","21966.187","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","6836.98","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","38972.23","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","19692.301","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","19279.93","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","28150.604","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","9904.337","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","51784.921","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","24927.507","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","26857.414","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","19489.852","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","32094.811","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","58801.927","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","28580.784","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","30221.143","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","19170.34","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","39550.889","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","2913.399","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","3","Albanie","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","1459.102","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","3","Albanie","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","1454.297","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","3","Albanie","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","1406.665","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","3","Albanie","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","1533.86","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","2866.849","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","3","Albanie","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","1433.767","X","Ciffre de sources internationales",""
