Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","004","Afghanistan","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","31341","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","004","Afghanistan","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","10666","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","710","Afrique du Sud","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","431","A","Chiffre officiel"
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","11057","A","Chiffre officiel"
"TCL","Cultures et produits animaux","710","Afrique du Sud","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","10900","A","Chiffre officiel"
"TCL","Cultures et produits animaux","710","Afrique du Sud","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","9447","A","Chiffre officiel"
"TCL","Cultures et produits animaux","008","Albanie","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","644","A","Chiffre officiel"
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","4591","A","Chiffre officiel"
"TCL","Cultures et produits animaux","012","Algérie","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","5248","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","012","Algérie","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","26988","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","276","Allemagne","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","148774","A","Chiffre officiel"
"TCL","Cultures et produits animaux","276","Allemagne","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","167632","A","Chiffre officiel"
"TCL","Cultures et produits animaux","276","Allemagne","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","256019","A","Chiffre officiel"
